county,FIRE_YEAR,fire_count
Sierra,1996,54
Sierra,1997,33
Sierra,1998,32
Sierra,1999,48
Sierra,2000,21
Sierra,2001,52
Sierra,2002,25
Sierra,2003,70
Sierra,2004,63
Sierra,2005,31
Sierra,2006,34
Sierra,2007,49
Sierra,2008,24
Sierra,2009,32
Sierra,2010,28
Sierra,2011,36
Sierra,2012,36
Sierra,2013,34
Sierra,2014,33
Sierra,2015,46
Sierra,2016,21
Sierra,2017,40
Sierra,2018,17
Sierra,2019,23
Sierra,2020,34
Siskiyou,1992,698
Siskiyou,1993,200
Siskiyou,1994,416
Siskiyou,1995,308
